time,open,high,low,close
1782836880,30503.5,30505.5,30496.25,30496.5
1782836940,30496,30499,30490.5,30494.25
1782837000,30495,30498.5,30486.75,30496
1782837060,30496.5,30501.75,30491.25,30493.5
1782837120,30493.25,30494.75,30483,30483.75
1782837180,30484.5,30489.25,30481.75,30485.25
1782837240,30484.75,30489,30477.5,30485.75
1782837300,30486,30493.25,30485,30487.25
1782837360,30487.75,30498.25,30487.5,30498.25
1782837420,30497.5,30500,30492.25,30494.75
1782837480,30494.5,30495.5,30489.75,30492.25
1782837540,30492.75,30500.5,30490.75,30500
1782837600,30499.5,30503,30493.5,30495
1782837660,30495.25,30500.5,30493.25,30497
1782837720,30497.75,30514,30497.5,30510.25
1782837780,30510.25,30512.75,30502.5,30502.5
1782837840,30503,30512,30501.25,30511.75
1782837900,30511.75,30522.75,30509.5,30521.5
1782837960,30521.75,30526,30518.25,30526
1782838020,30526,30529.5,30521.75,30523
1782838080,30523,30535.75,30522,30532.5
1782838140,30533.25,30538.25,30531.75,30538
1782838200,30537.5,30540.5,30529.75,30537.5
1782838260,30537.25,30537.75,30532.25,30533.5
1782838320,30534,30538,30532.25,30535
1782838380,30534.75,30543.25,30534.75,30542.75
1782838440,30542.5,30546.5,30540.5,30543.5
1782838500,30543,30546.25,30534.25,30534.25
1782838560,30534.5,30535,30530.25,30531.25
1782838620,30531.5,30532.25,30527.5,30530.75
1782838680,30530.5,30531.25,30521.5,30524.75
1782838740,30523.75,30529.5,30520.5,30528
1782838800,30528.25,30534.5,30526.75,30531.5
1782838860,30531.25,30535,30525.75,30534
1782838920,30534.25,30542.25,30533,30542
1782838980,30542,30556.75,30541.75,30555.5
1782839040,30556,30557.75,30550,30550.5
1782839100,30551,30552.5,30544.75,30552
1782839160,30552.25,30554.75,30549.75,30550.75
1782839220,30550.25,30557.75,30549.75,30555.5
1782839280,30555.75,30560.25,30551,30559.75
1782839340,30559.75,30562.75,30553.75,30555.5
1782839400,30555.5,30556.25,30548.5,30554
1782839460,30554.25,30555.75,30549.75,30552.75
1782839520,30552.25,30553.5,30547.25,30551
1782839580,30550.5,30553.25,30541.5,30542
1782839640,30542.25,30543.25,30534.75,30535
1782839700,30536.25,30537.25,30530,30532.75
